269,14K477,SCHOOL FOR LEGAL STUDIES
270,14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY"
271,14K488,BROOKLYN PREPARATORY HIGH SCHOOL
272,14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN
273,14K561,WILLIAMSBURG PREPARATORY SCHOOL
274,14K586,LYONS COMMUNITY SCHOOL
275,14K610,AUTOMOTIVE HIGH SCHOOL
276,14K632,FRANCES PERKINS ACADEMY
277,14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE
278,14K923,AUTOMOTIVE HIGH SCHOOL YABC
279,15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES
280,15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES
281,15K462,SECONDARY SCHOOL FOR LAW
282,15K463,SECONDARY SCHOOL FOR JOURNALISM
283,15K464,PARK SLOPE COLLEGIATE
284,15K497,SCHOOL FOR INTERNATIONAL STUDIES
285,15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES
286,15K520,PACIFIC HIGH SCHOOL
287,15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL
288,15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL
289,15K656,BROOKLYN HIGH SCHOOL OF THE ARTS
290,15K667,SUNSET PARK HIGH SCHOOL
291,15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL
292,16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL
293,16K455,BOYS AND GIRLS HIGH SCHOOL
294,16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY
295,16K594,GOTHAM PROFESSIONAL ARTS ACADEMY
296,16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE
297,17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL
298,17K408,ACADEMY OF HOSPITALITY AND TOURISM
299,17K467,ERASMUS YABC
300,17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL
301,17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS
302,17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP
303,17K531,"SCHOOL FOR HUMAN RIGHTS, THE"
304,17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP
305,17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS
306,17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS
307,17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS"
308,17K544,INTERNATIONAL ARTS BUSINESS SCHOOL
309,17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW
310,17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT
311,17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE
312,17K568,BROWNSVILLE ACADEMY HIGH SCHOOL
313,17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL
314,17K600,CLARA BARTON HIGH SCHOOL
315,17K625,PAUL ROBESON HIGH SCHOOL
316,17K751,ACADEMY FOR HEALTH CAREERS
317,18K563,IT TAKES A VILLAGE ACADEMY
318,18K566,BROOKLYN GENERATION SCHOOL
319,18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL
320,18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL
321,18K576,VICTORY COLLEGIATE HIGH SCHOOL
322,18K578,BROOKLYN BRIDGE ACADEMY
323,18K589,ARTS & MEDIA PREPARATORY ACADEMY
324,18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA
325,18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES
326,18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS
327,18K635,OLYMPUS ACADEMY
328,18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT
329,18K642,URBAN ACTION ACADEMY
330,18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL
331,19K409,EAST NEW YORK FAMILY ACADEMY
332,19K420,FRANKLIN K. LANE HIGH SCHOOL
333,19K431,THOMAS JEFFERSON YABC
